txn_id,vendor_id,invoice_number,amount,invoice_date,payment_date,posting_ts,created_by,approved_by,approver_role,gl_account
TXN-01339,V-0053,INV-79922,20445.44,2025-03-09,2025-04-21,2025-03-09T14:02:00,U-01,U-15,manager,6300
TXN-01376,V-0042,INV-12043,3209.26,2025-05-28,2025-06-21,2025-05-28T09:51:00,U-06,U-11,junior,7100
TXN-02333,V-0015,INV-87167,2673.7,2025-04-27,2025-06-03,2025-04-27T14:22:00,U-08,U-17,manager,6300
TXN-00815,V-0031,INV-56976,2171.5,2025-12-21,2026-01-09,2025-12-21T14:13:00,U-03,U-19,junior,6100
TXN-00802,V-0057,INV-17081,41129.34,2025-03-23,2025-04-08,2025-03-23T18:59:00,U-16,U-15,manager,6200
TXN-01353,V-0035,INV-50258,353.14,2025-05-23,2025-06-28,2025-05-23T14:10:00,U-13,U-07,junior,6100
TXN-01018,V-0033,INV-76889,546.56,2026-03-08,2026-04-10,2026-03-08T18:13:00,U-09,U-14,junior,6300
TXN-00822,V-0038,INV-72717,8212.58,2025-05-03,2025-06-07,2025-05-03T16:07:00,U-07,U-08,senior,6300
TXN-00839,V-0049,INV-90939,1962.26,2025-03-01,2025-03-28,2025-03-01T12:01:00,U-02,U-06,junior,7200
TXN-02654,V-0010,INV-82456,6232.86,2025-01-11,2025-02-20,2025-01-11T18:27:00,U-10,U-09,manager,6200
TXN-02590,V-0010,INV-80912,6106.69,2025-10-24,2025-11-15,2025-10-24T16:41:00,U-20,U-13,senior,6200
TXN-01528,V-0031,INV-13315,2102.56,2025-08-11,2025-08-31,2025-08-11T18:22:00,U-09,U-04,senior,7200
TXN-00420,V-0012,INV-42707,5212.54,2025-08-17,2025-09-07,2025-08-17T08:16:00,U-03,U-20,senior,6300
TXN-01413,V-0013,INV-72093,6945.0,2026-03-03,2026-04-13,2026-03-03T11:36:00,U-17,U-15,manager,6200
TXN-01249,V-0011,INV-24435,898.61,2025-12-18,2026-01-07,2025-12-18T09:31:00,U-10,U-08,senior,7100
TXN-00336,V-0038,INV-96154,1415.01,2025-11-19,2025-12-24,2025-11-19T10:11:00,U-15,U-08,senior,7100
TXN-00331,V-0035,INV-70694,10368.93,2025-04-24,2025-05-21,2025-04-24T15:23:00,U-18,U-20,senior,7200
TXN-00360,V-0031,INV-45916,1706.59,2025-11-29,2026-01-10,2025-11-29T12:10:00,U-14,U-07,junior,6200
TXN-02692,V-0010,INV-66958,5506.62,2025-05-22,2025-06-13,2025-05-22T18:14:00,U-20,U-17,manager,6200
TXN-02457,V-0006,INV-43388,3461.77,2025-01-31,2025-02-24,2025-01-31T12:37:00,U-13,U-12,director,6300
TXN-02652,V-0010,INV-92142,5449.04,2025-05-14,2025-06-17,2025-05-14T18:55:00,U-17,U-13,senior,6200
TXN-00332,V-0052,INV-64522,6824.96,2025-01-13,2025-02-06,2025-01-13T15:06:00,U-17,U-08,senior,6300
TXN-02334,V-0049,INV-32125,1100.15,2025-10-11,2025-11-15,2025-10-11T13:52:00,U-18,U-02,junior,7100
TXN-00343,V-0034,INV-51232,5190.39,2025-09-08,2025-09-28,2025-09-08T12:08:00,U-06,U-17,manager,6200
TXN-01070,V-0005,INV-46231,931.5,2025-09-20,2025-10-07,2025-09-20T16:41:00,U-03,U-11,junior,7200
TXN-00168,V-0013,INV-19447,223.19,2025-10-14,2025-11-09,2025-10-14T18:51:00,U-18,U-08,senior,7200
TXN-00511,V-0047,INV-97445,5234.96,2025-09-03,2025-10-18,2025-09-03T17:36:00,U-04,U-13,senior,7200
TXN-02463,V-0007,INV-21093,9930.75,2026-01-06,2026-02-16,2026-01-06T12:58:00,U-14,U-08,senior,6200
TXN-00256,V-0018,INV-71918,451.22,2025-01-27,2025-02-21,2025-01-27T09:26:00,U-17,U-08,senior,6200
TXN-00952,V-0035,INV-43211,195.21,2025-08-26,2025-09-28,2025-08-26T18:46:00,U-14,U-15,manager,6100
TXN-02319,V-0027,INV-16553,6947.04,2025-08-11,2025-09-08,2025-08-11T14:31:00,U-09,U-18,senior,7200
TXN-02258,V-0008,INV-46198,127.21,2025-04-28,2025-05-25,2025-04-28T09:28:00,U-01,U-15,manager,7200
TXN-02485,V-0029,INV-16113,322.27,2025-05-23,2025-07-03,2025-05-23T08:41:00,U-15,U-01,junior,6100
TXN-00730,V-0048,INV-54399,14790.39,2025-02-06,2025-03-21,2025-02-06T12:39:00,U-19,U-09,manager,6200
TXN-01274,V-0006,INV-61202,35196.77,2025-07-23,2025-08-17,2025-07-23T16:12:00,U-01,U-12,director,6300
TXN-00578,V-0043,INV-88579,2159.16,2025-05-27,2025-07-06,2025-05-27T11:02:00,U-01,U-08,senior,7200
TXN-02079,V-0035,INV-71251,4762.42,2025-08-29,2025-09-26,2025-08-29T08:32:00,U-02,U-12,director,7100
TXN-01985,V-0009,INV-73123,252.95,2025-12-19,2026-01-10,2025-12-19T13:37:00,U-03,U-11,junior,6300
TXN-02379,V-0054,INV-62797,17908.6,2025-02-17,2025-03-22,2025-02-17T17:45:00,U-18,U-08,senior,6300
TXN-00784,V-0006,INV-33149,968.46,2026-01-25,2026-02-15,2026-01-25T12:41:00,U-11,U-03,junior,7100
TXN-01929,V-0037,INV-12715,11610.82,2025-08-12,2025-09-06,2025-08-12T16:21:00,U-07,U-20,senior,7100
TXN-01363,V-0057,INV-53536,27994.27,2025-12-15,2026-01-04,2025-12-15T09:10:00,U-08,U-09,manager,6300
TXN-01000,V-0001,INV-84155,213.87,2025-08-02,2025-08-26,2025-08-02T15:36:00,U-12,U-03,junior,6100
TXN-00660,V-0011,INV-88005,762.27,2025-12-11,2026-01-19,2025-12-11T14:28:00,U-08,U-05,manager,6100
TXN-01034,V-0036,INV-10676,11183.48,2025-08-04,2025-08-29,2025-08-04T16:28:00,U-08,U-04,senior,6300
TXN-01183,V-0028,INV-45310,1701.82,2025-10-02,2025-11-06,2025-10-02T11:04:00,U-09,U-15,manager,6200
TXN-02040,V-0025,INV-61196,658.14,2025-12-19,2026-01-18,2025-12-19T12:53:00,U-08,U-16,junior,6200
TXN-01821,V-0034,INV-66229,108.39,2025-11-19,2025-12-23,2025-11-19T12:43:00,U-10,U-06,junior,6300
TXN-01456,V-0043,INV-89574,3017.62,2026-03-10,2026-03-26,2026-03-10T16:51:00,U-14,U-19,junior,6100
TXN-00337,V-0030,INV-38153,1168.6,2025-10-31,2025-11-15,2025-10-31T14:24:00,U-20,U-07,junior,7100
TXN-00600,V-0036,INV-16253,2761.87,2025-05-09,2025-06-11,2025-05-09T16:54:00,U-11,U-17,manager,6300
TXN-00430,V-0021,INV-96643,43356.02,2026-02-06,2026-03-08,2026-02-06T14:30:00,U-16,U-05,manager,6300
TXN-00581,V-0050,INV-55625,7926.01,2026-01-07,2026-02-09,2026-01-07T16:58:00,U-03,U-17,manager,6300
TXN-01449,V-0004,INV-15863,37035.65,2025-12-14,2026-01-20,2025-12-14T13:34:00,U-09,U-15,manager,6100
TXN-01180,V-0041,INV-49283,2835.38,2025-05-02,2025-05-21,2025-05-02T08:12:00,U-07,U-04,senior,6100
TXN-01697,V-0027,INV-73871,18267.37,2025-08-07,2025-09-19,2025-08-07T17:10:00,U-09,U-05,manager,7100
TXN-00875,V-0007,INV-87405,1174.33,2025-03-15,2025-04-21,2025-03-15T14:25:00,U-17,U-03,junior,6100
TXN-01164,V-0058,INV-73234,14888.97,2025-10-23,2025-11-29,2025-10-23T10:28:00,U-10,U-17,manager,6200
TXN-02046,V-0023,INV-34559,11861.51,2025-06-24,2025-07-15,2025-06-24T08:30:00,U-18,U-13,senior,7200
TXN-00991,V-0046,INV-35238,238.66,2025-02-23,2025-03-28,2025-02-23T13:33:00,U-13,U-18,senior,6200
TXN-02026,V-0013,INV-26601,5626.57,2025-08-29,2025-10-05,2025-08-29T11:46:00,U-19,U-05,manager,6100
TXN-01964,V-0049,INV-20481,2007.69,2025-03-26,2025-04-13,2025-03-26T18:31:00,U-03,U-09,manager,7100
TXN-01019,V-0021,INV-26118,132.67,2025-06-03,2025-07-10,2025-06-03T09:25:00,U-18,U-20,senior,6100
TXN-01114,V-0057,INV-97163,9506.1,2025-10-04,2025-11-17,2025-10-04T08:58:00,U-11,U-09,manager,6200
TXN-02160,V-0051,INV-99329,1411.94,2025-02-28,2025-04-01,2025-02-28T16:11:00,U-08,U-19,junior,6200
TXN-01398,V-0034,INV-65683,980.48,2025-12-24,2026-01-21,2025-12-24T09:29:00,U-09,U-14,junior,7100
TXN-01960,V-0035,INV-93257,151.92,2025-12-05,2026-01-12,2025-12-05T15:46:00,U-05,U-14,junior,6300
TXN-01462,V-0023,INV-35965,208.15,2025-03-17,2025-04-21,2025-03-17T17:31:00,U-14,U-15,manager,7200
TXN-01857,V-0012,INV-64720,182.99,2025-08-05,2025-08-28,2025-08-05T13:04:00,U-12,U-07,junior,6200
TXN-02219,V-0014,INV-32615,1568.08,2025-04-06,2025-04-26,2025-04-06T08:20:00,U-07,U-20,senior,7200
TXN-01779,V-0037,INV-82311,5759.29,2025-01-27,2025-02-21,2025-01-27T11:13:00,U-10,U-20,senior,7100
TXN-02113,V-0018,INV-22580,2132.59,2026-02-09,2026-03-18,2026-02-09T08:33:00,U-13,U-15,manager,7100
TXN-02482,V-0044,INV-31443,25285.73,2025-09-12,2025-10-27,2025-09-12T11:41:00,U-16,U-05,manager,6100
TXN-02683,V-0010,INV-27121,6095.35,2025-05-30,2025-07-02,2025-05-30T17:54:00,U-02,U-15,manager,6200
TXN-01595,V-0059,INV-62948,7141.2,2025-09-30,2025-11-11,2025-09-30T14:14:00,U-11,U-17,manager,7200
TXN-01136,V-0050,INV-24312,311.3,2025-08-14,2025-09-17,2025-08-14T18:58:00,U-07,U-10,senior,7100
TXN-02429,V-0059,INV-90775,27338.39,2025-08-16,2025-09-04,2025-08-16T11:50:00,U-03,U-15,manager,7100
TXN-02036,V-0031,INV-96809,6162.26,2025-06-30,2025-08-05,2025-06-30T11:55:00,U-05,U-10,senior,7100
TXN-01970,V-0026,INV-31292,1299.32,2025-06-19,2025-07-11,2025-06-19T12:05:00,U-13,U-15,manager,7200
TXN-00379,V-0034,INV-45227,37338.95,2025-07-10,2025-08-18,2025-07-10T10:47:00,U-17,U-12,director,6200
TXN-02714,V-0006,INV-75433,9284.85,2025-06-20,2025-07-16,2025-06-20T11:00:00,U-01,U-03,junior,7100
TXN-01197,V-0049,INV-90777,233.46,2025-12-24,2026-01-08,2025-12-24T09:25:00,U-16,U-18,senior,7200
TXN-00159,V-0039,INV-13441,407.75,2025-11-11,2025-12-13,2025-11-11T18:41:00,U-14,U-19,junior,7200
TXN-00263,V-0019,INV-33002,8699.11,2025-10-18,2025-11-08,2025-10-18T18:48:00,U-01,U-12,director,6300
TXN-02412,V-0007,INV-56381,11605.7,2025-11-01,2025-12-15,2025-11-01T16:03:00,U-07,U-08,senior,7100
TXN-00395,V-0029,INV-25717,211.77,2025-06-07,2025-07-19,2025-06-07T15:16:00,U-12,U-07,junior,7100
TXN-02152,V-0017,INV-85161,10595.93,2025-03-09,2025-04-10,2025-03-09T15:31:00,U-08,U-18,senior,6300
TXN-02520,V-0010,INV-81402,5011.91,2025-08-26,2025-09-19,2025-08-26T14:19:00,U-15,U-18,senior,6200
TXN-02570,V-0010,INV-32661,5642.32,2026-03-12,2026-04-26,2026-03-12T10:06:00,U-03,U-08,senior,6200
TXN-01579,V-0041,INV-93458,43298.3,2026-01-07,2026-02-20,2026-01-07T09:21:00,U-04,U-15,manager,7200
TXN-02621,V-0010,INV-82725,6740.88,2025-04-11,2025-05-22,2025-04-11T08:18:00,U-19,U-15,manager,6200
TXN-01176,V-0038,INV-31130,1610.9,2025-03-07,2025-04-11,2025-03-07T17:13:00,U-11,U-04,senior,6100
TXN-02134,V-0042,INV-81368,1485.09,2025-07-27,2025-08-22,2025-07-27T17:48:00,U-01,U-19,junior,6200
TXN-01144,V-0058,INV-57212,1916.68,2025-11-23,2025-12-28,2025-11-23T13:01:00,U-14,U-07,junior,6100
TXN-00429,V-0055,INV-93648,6120.3,2025-02-19,2025-03-11,2025-02-19T08:13:00,U-20,U-15,manager,6200
TXN-00791,V-0043,INV-18383,136.41,2025-11-09,2025-12-12,2025-11-09T10:53:00,U-10,U-04,senior,7100
TXN-01858,V-0044,INV-36825,114.93,2025-03-14,2025-04-27,2025-03-14T12:29:00,U-02,U-05,manager,6300
TXN-00513,V-0027,INV-42841,246.74,2026-01-20,2026-02-25,2026-01-20T10:18:00,U-02,U-08,senior,6300
TXN-02673,V-0010,INV-28903,6447.0,2025-05-31,2025-06-26,2025-05-31T10:11:00,U-09,U-12,director,6200
TXN-00157,V-0008,INV-85748,1284.58,2025-11-04,2025-11-22,2025-11-04T12:22:00,U-14,U-02,junior,6300
TXN-01147,V-0048,INV-21415,243.44,2025-01-17,2025-02-26,2025-01-17T10:31:00,U-17,U-20,senior,7200
TXN-00983,V-0025,INV-36887,105.03,2025-03-17,2025-04-21,2025-03-17T14:28:00,U-09,U-18,senior,7200
TXN-02313,V-0004,INV-72620,198.9,2025-12-14,2026-01-25,2025-12-14T10:03:00,U-20,U-05,manager,7200
TXN-02014,V-0006,INV-72053,230.08,2026-01-28,2026-02-16,2026-01-28T09:37:00,U-04,U-18,senior,7200
TXN-00307,V-0033,INV-51220,539.11,2025-10-16,2025-11-05,2025-10-16T18:02:00,U-03,U-10,senior,7200
TXN-01689,V-0020,INV-71342,135.52,2025-09-25,2025-10-25,2025-09-25T14:57:00,U-13,U-10,senior,7100
TXN-01530,V-0027,INV-86832,1023.22,2025-07-04,2025-07-19,2025-07-04T16:12:00,U-01,U-08,senior,7100
TXN-01024,V-0006,INV-26176,13332.55,2026-03-03,2026-04-08,2026-03-03T18:28:00,U-03,U-17,manager,6100
TXN-01757,V-0003,INV-30830,7559.41,2025-02-06,2025-02-24,2025-02-06T18:07:00,U-15,U-08,senior,6200
TXN-01945,V-0032,INV-15540,460.66,2025-03-24,2025-05-02,2025-03-24T18:38:00,U-06,U-04,senior,6200
TXN-02244,V-0045,INV-87516,761.36,2025-05-27,2025-06-11,2025-05-27T14:08:00,U-05,U-06,junior,7200
TXN-02195,V-0003,INV-47156,110.49,2025-12-23,2026-01-10,2025-12-23T18:51:00,U-20,U-09,manager,6200
TXN-01137,V-0058,INV-54846,5220.54,2025-07-13,2025-07-30,2025-07-13T09:17:00,U-03,U-10,senior,6100
TXN-01607,V-0021,INV-67677,15511.45,2026-01-02,2026-02-06,2026-01-02T16:40:00,U-02,U-12,director,7100
TXN-02586,V-0010,INV-30558,5008.2,2025-03-21,2025-04-30,2025-03-21T18:32:00,U-03,U-09,manager,6200
TXN-02080,V-0002,INV-54759,131.57,2025-05-06,2025-06-10,2025-05-06T14:22:00,U-02,U-01,junior,6300
TXN-01644,V-0022,INV-96598,3543.62,2025-05-06,2025-06-07,2025-05-06T13:36:00,U-18,U-03,junior,7100
TXN-02188,V-0044,INV-73932,2096.54,2025-06-16,2025-07-11,2025-06-16T08:39:00,U-09,U-14,junior,7200
TXN-02341,V-0037,INV-17966,1057.49,2025-07-01,2025-08-02,2025-07-01T08:41:00,U-06,U-03,junior,7100
TXN-00140,V-0007,INV-80804,430.25,2025-08-21,2025-10-05,2025-08-21T13:42:00,U-18,U-05,manager,7100
TXN-01310,V-0021,INV-64336,527.56,2025-12-11,2026-01-23,2025-12-11T11:00:00,U-09,U-11,junior,7100
TXN-02568,V-0010,INV-15301,6945.32,2025-12-02,2026-01-13,2025-12-02T16:48:00,U-04,U-10,senior,6200
TXN-02742,V-0016,INV-34443,2781.31,2025-05-23,2025-06-30,2025-05-23T09:51:00,U-04,U-15,manager,6100
TXN-00053,V-0014,INV-97900,486.95,2026-02-17,2026-03-27,2026-02-17T16:43:00,U-14,U-01,junior,7200
TXN-01028,V-0034,INV-46352,27620.97,2025-04-11,2025-04-29,2025-04-11T18:25:00,U-20,U-09,manager,6100
TXN-02611,V-0010,INV-20726,6707.22,2025-04-26,2025-05-26,2025-04-26T13:00:00,U-09,U-18,senior,6200
TXN-01924,V-0051,INV-84873,392.13,2025-11-12,2025-11-29,2025-11-12T08:10:00,U-13,U-07,junior,7200
TXN-01935,V-0026,INV-94542,28865.39,2025-03-28,2025-04-30,2025-03-28T11:54:00,U-09,U-17,manager,6200
TXN-01835,V-0032,INV-12222,555.62,2025-03-25,2025-04-19,2025-03-25T17:08:00,U-20,U-15,manager,6300
TXN-01291,V-0011,INV-57381,5344.72,2025-11-04,2025-12-18,2025-11-04T14:03:00,U-11,U-18,senior,6100
TXN-01014,V-0005,INV-23305,2026.58,2025-05-18,2025-06-23,2025-05-18T16:37:00,U-14,U-08,senior,6100
TXN-00905,V-0044,INV-18333,19995.33,2025-02-12,2025-03-08,2025-02-12T13:38:00,U-16,U-04,senior,6100
TXN-02603,V-0010,INV-16019,5145.69,2025-01-07,2025-01-28,2025-01-07T08:00:00,U-16,U-12,director,6200
TXN-00119,V-0011,INV-67711,2172.09,2025-10-30,2025-11-17,2025-10-30T13:55:00,U-02,U-06,junior,7200
TXN-01654,V-0056,INV-39214,1128.38,2025-08-07,2025-09-18,2025-08-07T10:16:00,U-01,U-09,manager,6300
TXN-01129,V-0041,INV-60377,3638.54,2026-01-30,2026-03-08,2026-01-30T09:41:00,U-06,U-01,junior,6100
TXN-01369,V-0048,INV-93859,795.7,2025-05-19,2025-06-26,2025-05-19T18:33:00,U-17,U-16,junior,6100
TXN-00201,V-0043,INV-41531,2460.27,2025-08-08,2025-09-03,2025-08-08T08:39:00,U-08,U-05,manager,6300
TXN-00164,V-0046,INV-38255,166.03,2025-11-07,2025-11-30,2025-11-07T15:26:00,U-15,U-14,junior,7100
TXN-00621,V-0013,INV-74486,233.75,2025-08-20,2025-09-23,2025-08-20T12:44:00,U-04,U-16,junior,7200
TXN-02655,V-0010,INV-18520,5351.15,2025-10-30,2025-11-30,2025-10-30T16:48:00,U-11,U-09,manager,6200
TXN-02660,V-0010,INV-17798,6595.61,2026-03-07,2026-03-24,2026-03-07T16:41:00,U-13,U-09,manager,6200
TXN-02599,V-0010,INV-11299,5098.76,2025-11-24,2025-12-21,2025-11-24T16:51:00,U-06,U-20,senior,6200
TXN-02187,V-0058,INV-13363,47406.5,2025-12-30,2026-01-25,2025-12-30T14:23:00,U-17,U-05,manager,7200
TXN-00471,V-0001,INV-42613,25556.33,2025-12-13,2026-01-20,2025-12-13T08:40:00,U-17,U-09,manager,6100
TXN-02375,V-0036,INV-10766,3615.33,2025-06-04,2025-07-16,2025-06-04T09:35:00,U-06,U-14,junior,6100
TXN-00693,V-0004,INV-65372,325.39,2026-02-01,2026-02-21,2026-02-01T12:29:00,U-15,U-13,senior,6300
TXN-02405,V-0049,INV-76520,118.68,2025-02-21,2025-03-22,2025-02-21T09:06:00,U-20,U-04,senior,6200
TXN-01023,V-0041,INV-80533,1932.58,2025-10-12,2025-11-08,2025-10-12T15:48:00,U-01,U-07,junior,7100
TXN-01457,V-0033,INV-48412,6013.88,2025-05-18,2025-06-20,2025-05-18T11:53:00,U-17,U-15,manager,6300
TXN-00190,V-0054,INV-68222,27304.95,2025-07-06,2025-07-28,2025-07-06T18:46:00,U-15,U-05,manager,7100
TXN-00296,V-0021,INV-95800,257.84,2025-10-19,2025-11-20,2025-10-19T11:31:00,U-11,U-08,senior,7100
TXN-00116,V-0056,INV-82340,3838.2,2025-10-03,2025-10-28,2025-10-03T15:22:00,U-16,U-05,manager,7100
TXN-00365,V-0007,INV-28724,701.01,2026-02-01,2026-03-09,2026-02-01T10:41:00,U-10,U-05,manager,7100
TXN-00047,V-0042,INV-53540,10539.44,2025-07-31,2025-09-07,2025-07-31T08:11:00,U-08,U-09,manager,6200
TXN-01268,V-0020,INV-17339,42308.53,2026-01-16,2026-02-19,2026-01-16T11:25:00,U-17,U-15,manager,6200
TXN-00533,V-0002,INV-86756,1125.26,2025-11-25,2026-01-03,2025-11-25T17:04:00,U-04,U-19,junior,6100
TXN-00493,V-0049,INV-17152,468.71,2026-03-06,2026-04-09,2026-03-06T16:57:00,U-12,U-14,junior,6200
TXN-00890,V-0058,INV-96214,665.2,2025-10-03,2025-11-01,2025-10-03T13:02:00,U-11,U-06,junior,6100
TXN-01606,V-0008,INV-17836,8548.87,2025-08-13,2025-09-20,2025-08-13T15:52:00,U-20,U-17,manager,6100
TXN-02604,V-0010,INV-84099,5172.87,2025-05-30,2025-06-22,2025-05-30T09:35:00,U-13,U-15,manager,6200
TXN-01272,V-0015,INV-41501,4088.69,2025-04-14,2025-04-30,2025-04-14T18:59:00,U-10,U-07,junior,7200
TXN-00144,V-0006,INV-84000,6148.84,2026-02-07,2026-02-26,2026-02-07T13:15:00,U-20,U-04,senior,6100
TXN-01297,V-0038,INV-28955,12986.4,2026-01-06,2026-02-09,2026-01-06T18:37:00,U-20,U-09,manager,6100
TXN-01420,V-0059,INV-96944,11587.75,2026-02-23,2026-04-03,2026-02-23T13:59:00,U-05,U-10,senior,7200
TXN-02000,V-0053,INV-82398,670.56,2025-10-25,2025-11-30,2025-10-25T11:34:00,U-20,U-02,junior,7100
